,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024221,2024221,2024,89,7177,3940,3940,0,4784,0.0181,21724,29.1,0.549,2.5,-99,-99,-99,-99,-99,0,0,308,326,98,228,1,44,4,1,40,-99,69,0,27,57,63,46,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110691,110685,776,0.0,42.8,32.7,73.4,-99,23.5,17.9,40.3,-99,179.4,103.4,98.5,56.7,105,19.5,10.4,18.2,16.1,420.5,167.6,219.5,-99,-99,2024-08-08
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024221,2024221,2024,89,7922,4345,4345,0,5189,0.02,21724,29.1,0.548,2.5,-99,-99,-99,-99,-99,0,0,344,358,126,232,1,44,8,1,40,-99,95,0,16,71,89,72,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110524,110518,944,0.0,38.9,31.4,62.8,-99,21.3,17.2,34.4,-99,198.0,83.1,108.6,45.6,105,19.7,10.6,17.6,16.1,420.5,203.9,252.0,-99,-99,2024-08-08
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024227,2024227,2024,89,7389,4159,4159,0,5003,0.0191,21727,29.1,0.563,2.5,-99,-99,-99,-99,-99,0,0,309,330,101,229,1,44,1,1,40,-99,72,0,24,57,66,49,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110692,110686,775,0.0,43.7,33.0,73.3,-99,24.6,18.6,41.2,-99,184.7,102.7,104.0,57.8,111,18.8,9.7,18.3,16.1,420.5,168.9,223.9,-99,-99,2024-08-14
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024222,2024222,2024,89,9095,4345,4345,0,5189,0.02,21724,29.1,0.478,2.5,-99,-99,-99,-99,-99,0,0,430,390,149,240,7,50,50,1,40,-99,113,1,6,79,106,89,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110434,110428,1034,0.0,31.4,32.1,61.0,-99,15.0,15.3,29.1,-99,227.4,80.7,108.6,38.6,106,19.7,10.2,18.4,16.1,420.5,289.6,283.6,-99,-99,2024-08-09
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024225,2024225,2024,89,7970,4325,4325,0,5169,0.0199,21727,29.1,0.543,2.5,-99,-99,-99,-99,-99,0,0,396,363,115,248,2,44,53,1,40,-99,101,0,10,70,95,78,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110533,110528,934,0.0,31.2,31.0,69.0,-99,16.9,16.8,37.4,-99,199.2,78.9,108.1,42.8,109,19.2,9.9,18.4,16.1,420.5,255.7,257.2,-99,-99,2024-08-12
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024223,2024223,2024,89,9586,4345,4345,0,5190,0.02,21726,29.1,0.453,2.5,-99,-99,-99,-99,-99,0,0,387,376,146,229,7,60,10,1,40,-99,98,2,9,69,91,74,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110557,110551,911,0.0,38.9,35.5,65.5,-99,17.6,16.1,29.7,-99,239.7,98.1,108.6,44.5,107,19.4,10.1,18.4,16.1,420.5,246.2,269.7,-99,-99,2024-08-10
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024224,2024224,2024,89,9983,4286,4286,0,5130,0.0197,21724,29.1,0.429,2.5,-99,-99,-99,-99,-99,0,0,421,386,145,240,5,44,53,1,40,-99,114,0,6,80,107,90,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110432,110426,1036,0.0,35.5,35.7,68.7,-99,15.3,15.3,29.5,-99,249.6,87.9,107.1,37.8,108,19.1,10.1,17.4,16.1,420.5,281.0,279.8,-99,-99,2024-08-11
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024221,2024221,2024,89,8887,4345,4345,0,5189,0.02,21725,29.1,0.489,2.5,-99,-99,-99,-99,-99,0,0,361,366,132,234,2,44,15,1,40,-99,93,0,15,69,87,70,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12799,0,0,110555,110549,913,0.0,40.4,34.2,67.5,-99,19.7,16.7,33.0,-99,222.2,95.1,108.6,46.5,105,19.5,10.4,18.5,16.1,420.5,220.2,259.8,-99,-99,2024-08-08
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024219,2024219,2024,89,9968,4345,4345,0,5189,0.02,21724,29.1,0.436,2.5,-99,-99,-99,-99,-99,0,0,402,392,156,237,7,44,25,1,40,-99,105,0,10,75,98,82,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110484,110478,983,0.0,38.1,34.8,64.1,-99,16.6,15.2,27.9,-99,249.2,95.0,108.6,41.4,103,19.9,10.4,19.7,16.1,420.5,261.8,286.1,-99,-99,2024-08-06
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024224,2024224,2024,89,8135,4345,4345,0,5189,0.02,21724,29.1,0.534,2.5,-99,-99,-99,-99,-99,0,0,370,369,132,237,2,44,20,1,40,-99,104,0,9,73,98,81,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12795,12795,0,0,110502,110496,966,0.0,35.5,30.9,61.7,-99,19.0,16.5,32.9,-99,203.4,78.2,108.6,41.8,108,19.1,10.2,17.6,16.1,420.5,229.1,262.9,-99,-99,2024-08-11
10,11,11,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0102401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024219,2024219,2024,89,7011,3770,3770,0,4614,0.0174,21723,29.1,0.538,2.5,-99,-99,-99,-99,-99,0,0,310,327,96,231,1,44,4,1,40,-99,68,0,29,57,62,45,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110681,110674,787,0.0,41.4,31.7,72.7,-99,22.3,17.1,39.1,-99,175.3,103.5,94.3,55.7,103,20.1,10.5,19.3,16.1,420.5,169.3,220.9,-99,-99,2024-08-06
11,12,12,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0112401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024220,2024220,2024,89,9027,4344,4344,0,5189,0.02,21722,29.1,0.481,2.5,-99,-99,-99,-99,-99,0,0,369,369,134,235,1,44,22,1,40,-99,102,0,11,72,96,79,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110518,110512,950,0.0,39.5,34.3,67.1,-99,19.0,16.5,32.3,-99,225.7,88.2,108.6,42.4,104,19.7,10.6,18.2,16.1,420.5,228.8,263.0,-99,-99,2024-08-07
12,13,13,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0122401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024226,2024226,2024,89,7271,4035,4035,0,4879,0.0186,21726,29.1,0.555,2.5,-99,-99,-99,-99,-99,0,0,315,332,98,234,1,44,5,1,40,-99,68,0,27,56,62,45,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110700,110693,768,0.0,41.6,32.2,74.1,-99,23.1,17.8,41.1,-99,181.8,107.0,100.9,59.4,110,18.9,9.7,18.1,16.1,420.5,175.0,226.1,-99,-99,2024-08-13
13,14,14,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0132401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024226,2024226,2024,89,9611,4345,4345,0,5189,0.02,21724,29.1,0.452,2.5,-99,-99,-99,-99,-99,0,0,431,385,142,243,6,50,56,1,40,-99,113,1,6,79,106,89,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110443,110438,1025,0.0,33.1,34.4,67.5,-99,15.0,15.6,30.5,-99,240.3,85.3,108.6,38.6,110,19.0,9.9,17.7,16.1,420.5,290.2,279.1,-99,-99,2024-08-13
