,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024221,2024221,2024,89,5575,3082,3082,0,3793,0.02,15408,25.4,0.553,1.6,-99,-99,-99,-99,-99,0,0,349,351,94,257,1,44,19,1,40,-99,77,0,16,53,73,62,0.071,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110782,110775,684,0.0,27.5,24.1,59.2,-99,15.2,13.3,32.7,-99,139.4,72.1,77.0,39.8,99,20.4,11.0,17.9,16.2,419.6,202.7,231.0,-99,-99,1,2024-08-08
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024221,2024221,2024,89,5542,3082,3082,0,3793,0.02,15408,25.4,0.556,1.6,-99,-99,-99,-99,-99,0,0,333,343,89,255,1,44,12,1,40,-99,70,0,19,50,66,54,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12818,0,0,110819,110811,647,0.0,29.6,24.9,62.6,-99,16.5,13.8,34.8,-99,138.5,78.9,77.0,43.9,99,20.3,11.0,18.3,16.2,419.6,187.2,223.0,-99,-99,1,2024-08-08
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024221,2024221,2024,89,5541,3082,3082,0,3793,0.02,15408,25.4,0.556,1.6,-99,-99,-99,-99,-99,0,0,360,338,87,251,1,44,43,1,40,-99,69,0,21,49,65,54,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12819,0,0,110832,110825,634,0.0,25.9,25.4,63.5,-99,14.4,14.1,35.3,-99,138.5,79.9,77.0,44.5,99,20.3,11.0,18.1,16.2,419.6,214.1,218.1,-99,-99,1,2024-08-08
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024225,2024225,2024,89,5592,3023,3023,0,3734,0.0196,15409,25.4,0.54,1.6,-99,-99,-99,-99,-99,0,0,342,353,93,259,1,44,11,1,40,-99,75,0,17,52,71,59,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110792,110785,673,0.0,28.6,24.1,59.8,-99,15.4,13.0,32.3,-99,139.8,74.3,75.6,40.2,103,19.8,10.4,18.0,16.2,419.6,195.7,232.4,-99,-99,1,2024-08-12
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024222,2024222,2024,89,5539,3082,3082,0,3793,0.02,15408,25.4,0.556,1.6,-99,-99,-99,-99,-99,0,0,374,338,87,250,9,44,50,1,40,-99,68,0,20,48,64,53,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12819,0,0,110835,110827,631,0.0,24.3,25.4,63.4,-99,13.5,14.2,35.3,-99,138.5,81.1,77.0,45.1,100,20.2,10.9,18.2,16.2,419.6,227.9,217.7,-99,-99,1,2024-08-09
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024222,2024222,2024,89,5583,3081,3081,0,3792,0.02,15407,25.4,0.552,1.6,-99,-99,-99,-99,-99,0,0,405,356,93,263,1,44,71,1,40,-99,86,0,11,55,81,70,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110758,110751,708,0.0,21.5,23.7,60.0,-99,11.9,13.1,33.1,-99,139.6,65.2,77.0,36.0,100,20.1,11.0,17.4,16.2,419.6,259.2,235.7,-99,-99,1,2024-08-09
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024222,2024222,2024,89,5545,3081,3081,0,3792,0.02,15407,25.4,0.556,1.6,-99,-99,-99,-99,-99,0,0,350,351,92,259,1,44,21,1,40,-99,76,0,17,53,72,61,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110785,110778,681,0.0,27.2,24.1,60.5,-99,15.1,13.4,33.6,-99,138.6,72.6,77.0,40.3,100,20.2,11.1,17.8,16.2,419.6,204.0,230.5,-99,-99,1,2024-08-09
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024222,2024222,2024,89,5548,3081,3081,0,3793,0.02,15407,25.4,0.555,1.6,-99,-99,-99,-99,-99,0,0,342,352,93,259,1,44,12,1,40,-99,75,0,17,52,70,59,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110792,110785,673,0.0,28.3,23.9,59.9,-99,15.7,13.3,33.3,-99,138.7,74.4,77.0,41.3,100,20.2,11.0,18.1,16.2,419.6,196.1,231.9,-99,-99,1,2024-08-09
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024222,2024222,2024,89,5547,3082,3082,0,3793,0.02,15409,25.4,0.556,1.6,-99,-99,-99,-99,-99,0,0,351,351,90,261,1,44,21,1,40,-99,76,0,17,52,72,60,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12816,0,0,110797,110790,668,0.0,27.2,24.0,61.8,-99,15.1,13.4,34.3,-99,138.7,73.3,77.0,40.7,100,20.2,10.8,18.4,16.2,419.6,204.3,230.8,-99,-99,1,2024-08-09
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024118,2024122,2024183,2024223,2024223,2024,89,5556,3073,3073,0,3785,0.0199,15409,25.4,0.553,1.6,-99,-99,-99,-99,-99,0,0,348,349,90,259,1,44,20,1,40,-99,76,0,16,52,72,60,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12816,0,0,110797,110790,668,0.0,27.5,24.3,61.8,-99,15.2,13.4,34.2,-99,138.9,73.1,76.8,40.4,101,19.9,10.7,17.8,16.2,419.6,202.0,229.1,-99,-99,1,2024-08-10
