,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,9132,3411,3411,0,4072,0.0101,33771,55.8,0.374,1.5,-99,-99,-99,-99,-99,0,0,426,380,117,263,7,66,39,1,40,-99,103,3,13,79,99,87,0.102,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110410,110408,1049,0.0,31.8,34.1,77.8,-99,11.9,12.7,29.0,-99,228.3,88.3,85.3,33.0,103,20.3,10.7,18.1,16.1,420.5,287.5,268.1,-99,-99,2024-08-08
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024225,2024225,2024,89,8928,3258,3258,0,3919,0.0096,33774,55.8,0.365,1.5,-99,-99,-99,-99,-99,0,0,450,381,112,269,17,56,64,1,40,-99,109,1,9,78,104,92,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110405,110403,1054,0.0,28.6,33.3,79.8,-99,10.5,12.1,29.1,-99,223.2,82.2,81.5,30.0,107,19.8,10.2,17.1,16.1,420.5,311.7,268.3,-99,-99,2024-08-12
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,9007,3411,3411,0,4072,0.0101,33774,55.8,0.379,1.5,-99,-99,-99,-99,-99,0,0,409,373,118,255,12,67,23,1,40,-99,94,3,15,72,89,77,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110494,110492,965,0.0,33.3,34.5,76.1,-99,12.6,13.1,28.8,-99,225.2,95.9,85.3,36.3,104,19.9,10.4,18.3,16.1,420.5,270.2,260.7,-99,-99,2024-08-09
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024226,2024226,2024,89,9361,3395,3395,0,4056,0.0101,33776,55.8,0.363,1.5,-99,-99,-99,-99,-99,0,0,495,392,121,272,20,50,99,1,40,-99,105,1,12,77,100,88,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12791,12791,0,0,110433,110431,1026,0.0,26.3,33.4,77.7,-99,9.5,12.1,28.2,-99,234.0,89.6,84.9,32.5,108,19.4,9.9,18.4,16.1,420.5,356.2,280.1,-99,-99,2024-08-13
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,6621,3367,3367,0,4028,0.01,33772,55.8,0.508,1.5,-99,-99,-99,-99,-99,0,0,336,337,83,254,1,46,18,1,40,-99,71,1,33,62,66,54,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110594,110593,864,0.0,33.5,29.5,79.5,-99,17.1,15.0,40.4,-99,165.5,93.8,84.2,47.7,103,20.3,10.6,19.0,16.1,420.5,197.4,224.5,-99,-99,2024-08-08
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024226,2024226,2024,89,9344,3179,3179,0,3840,0.0094,33774,55.8,0.34,1.5,-99,-99,-99,-99,-99,0,0,405,378,114,264,3,46,45,1,40,-99,108,1,12,80,104,92,0.095,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12787,0,0,110378,110376,1081,0.0,35.1,35.2,82.1,-99,11.9,12.0,27.9,-99,233.6,86.2,79.5,29.3,108,19.9,10.0,17.2,16.1,420.5,266.2,265.3,-99,-99,2024-08-13
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,6969,3413,3413,0,4074,0.0101,33772,55.8,0.49,1.5,-99,-99,-99,-99,-99,0,0,358,350,90,260,1,46,27,1,40,-99,94,1,16,70,90,78,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110499,110498,959,0.0,31.7,29.3,77.3,-99,15.5,14.3,37.8,-99,174.2,74.0,85.3,36.2,103,20.2,10.4,18.8,16.1,420.5,219.6,238.1,-99,-99,2024-08-08
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024226,2024226,2024,89,6748,3319,3319,0,3980,0.0098,33776,55.8,0.492,1.5,-99,-99,-99,-99,-99,0,0,354,355,92,263,1,46,18,1,40,-99,93,1,18,71,89,77,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110491,110489,968,0.0,31.3,27.8,73.4,-99,15.4,13.7,36.1,-99,168.7,72.4,83.0,35.6,108,19.5,10.0,17.4,16.1,420.5,215.4,242.8,-99,-99,2024-08-13
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,9158,3219,3219,0,3880,0.0095,33774,55.8,0.352,1.5,-99,-99,-99,-99,-99,0,0,538,386,113,273,26,129,63,1,40,-99,108,9,8,83,103,91,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110359,110357,1100,0.0,22.9,33.4,81.1,-99,8.1,11.7,28.5,-99,229.0,85.1,80.5,29.9,106,20.2,10.3,17.5,16.1,420.5,399.5,274.1,-99,-99,2024-08-11
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,9197,3411,3411,0,4072,0.0101,33773,55.8,0.371,1.5,-99,-99,-99,-99,-99,0,0,490,384,117,267,21,93,58,1,40,-99,108,5,8,81,104,92,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110394,110393,1065,0.0,26.2,33.9,78.5,-99,9.7,12.6,29.1,-99,229.9,85.0,85.3,31.5,103,20.2,10.7,18.1,16.1,420.5,351.4,271.7,-99,-99,2024-08-08
10,11,11,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0102401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,7467,3411,3411,0,4072,0.0101,33774,55.8,0.457,1.5,-99,-99,-99,-99,-99,0,0,332,345,92,253,1,46,5,1,40,-99,78,1,26,64,73,61,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12804,0,0,110573,110571,885,0.0,38.7,32.1,81.3,-99,17.7,14.6,37.2,-99,186.7,96.2,85.3,44.0,106,19.7,10.1,18.3,16.1,420.5,193.1,232.9,-99,-99,2024-08-11
