,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024224,2024224,2024,89,6557,2631,2631,0,3106,0.0101,26045,52.0,0.401,1.3,-99,-99,-99,-99,-99,0,0,372,359,89,270,1,47,32,1,40,-99,87,0,14,59,83,74,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110688,110686,770,0.0,28.4,27.6,73.9,-99,11.4,11.1,29.6,-99,163.9,75.5,65.8,30.3,98,20.9,11.2,17.2,16.2,419.6,230.6,237.6,-99,-99,1,2024-08-11
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024224,2024224,2024,89,5982,2630,2630,0,3106,0.0101,26044,52.0,0.44,1.3,-99,-99,-99,-99,-99,0,0,324,336,79,257,0,47,7,1,40,-99,71,0,21,52,67,58,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110772,110769,687,0.0,32.8,27.8,75.7,-99,14.4,12.2,33.3,-99,149.5,84.8,65.8,37.3,98,21.1,11.4,17.4,16.2,419.6,182.6,214.9,-99,-99,1,2024-08-11
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024225,2024225,2024,89,7130,2628,2628,0,3104,0.0101,26044,52.0,0.369,1.3,-99,-99,-99,-99,-99,0,0,369,356,91,265,3,47,30,1,40,-99,87,0,12,59,84,74,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110694,110691,765,0.0,31.4,30.4,78.4,-99,11.6,11.2,28.9,-99,178.2,81.6,65.7,30.1,99,20.8,11.2,17.1,16.2,419.6,227.3,234.4,-99,-99,1,2024-08-12
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024223,2024223,2024,89,6787,2630,2630,0,3106,0.0101,26043,52.0,0.388,1.3,-99,-99,-99,-99,-99,0,0,411,359,90,269,9,47,62,1,40,-99,90,0,13,61,86,77,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110666,110663,793,0.0,25.2,28.6,75.2,-99,9.8,11.1,29.1,-99,169.7,75.8,65.8,29.4,97,21.2,11.7,16.8,16.2,419.6,269.2,237.4,-99,-99,1,2024-08-10
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024225,2024225,2024,89,6269,2631,2631,0,3106,0.0101,26045,52.0,0.42,1.3,-99,-99,-99,-99,-99,0,0,336,344,82,261,0,47,11,1,40,-99,76,0,18,54,73,63,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110747,110745,711,0.0,32.3,28.2,76.2,-99,13.6,11.8,32.0,-99,156.7,82.5,65.8,34.6,99,20.8,11.1,17.5,16.2,419.6,194.1,222.2,-99,-99,1,2024-08-12
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024225,2024225,2024,89,7326,2630,2630,0,3106,0.0101,26044,52.0,0.359,1.3,-99,-99,-99,-99,-99,0,0,403,366,94,272,5,47,51,1,40,-99,91,0,10,61,87,78,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110670,110668,789,0.0,28.1,30.0,77.9,-99,10.1,10.8,28.0,-99,183.2,80.4,65.8,28.9,99,20.9,11.3,17.3,16.2,419.6,261.1,244.6,-99,-99,1,2024-08-12
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024223,2024223,2024,89,7150,2630,2630,0,3106,0.0101,26043,52.0,0.368,1.3,-99,-99,-99,-99,-99,0,0,434,356,94,262,19,47,79,1,40,-99,85,0,14,58,81,72,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110706,110703,753,0.0,24.4,30.5,76.5,-99,9.0,11.2,28.1,-99,178.8,84.5,65.8,31.1,97,21.2,11.6,17.4,16.2,419.6,292.7,234.3,-99,-99,1,2024-08-10
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024223,2024223,2024,89,5910,2630,2630,0,3106,0.0101,26044,52.0,0.445,1.3,-99,-99,-99,-99,-99,0,0,373,351,79,272,1,47,41,1,40,-99,81,0,15,55,78,68,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110736,110733,723,0.0,25.5,25.7,74.6,-99,11.3,11.5,33.2,-99,147.7,72.8,65.8,32.4,97,21.1,11.4,18.2,16.2,419.6,231.8,229.5,-99,-99,1,2024-08-10
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024222,2024222,2024,89,6897,2630,2630,0,3106,0.0101,26042,52.0,0.381,1.3,-99,-99,-99,-99,-99,0,0,421,362,91,271,5,59,61,1,40,-99,89,1,11,60,85,76,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12807,0,0,110675,110672,784,0.0,24.7,28.7,75.9,-99,9.4,11.0,28.9,-99,172.4,77.5,65.8,29.6,96,21.4,11.7,17.4,16.2,419.6,279.4,240.2,-99,-99,1,2024-08-09
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024126,2024182,2024222,2024222,2024,89,6876,2630,2630,0,3106,0.0101,26042,52.0,0.383,1.3,-99,-99,-99,-99,-99,0,0,391,360,92,268,1,47,49,1,40,-99,91,0,11,62,87,78,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110657,110654,802,0.0,27.6,28.8,74.5,-99,10.6,11.0,28.5,-99,171.9,75.4,65.8,28.8,96,21.6,11.8,17.3,16.2,419.6,249.1,238.8,-99,-99,1,2024-08-09
