,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024222,2024222,2024,89,7834,3880,3880,0,4475,0.0186,20859,35.6,0.495,1.4,-99,-99,-99,-99,-99,0,0,374,375,108,267,7,30,29,1,40,-99,108,0,12,80,103,91,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110383,110377,1083,0.0,33.2,31.3,72.5,-99,16.4,15.5,35.9,-99,195.9,72.4,97.0,35.9,95,21.5,12.0,18.1,16.2,420.5,236.3,250.2,-99,-99,2024-08-09
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024223,2024223,2024,89,7265,3880,3880,0,4474,0.0186,20859,35.6,0.534,1.4,-99,-99,-99,-99,-99,0,0,412,370,103,267,6,30,72,1,40,-99,110,0,12,81,105,93,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110371,110366,1094,0.0,26.5,29.6,70.8,-99,14.2,15.8,37.8,-99,181.6,66.0,97.0,35.2,96,21.5,12.0,17.7,16.2,420.5,273.9,245.4,-99,-99,2024-08-10
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,7898,3877,3877,0,4471,0.0186,20859,35.6,0.491,1.4,-99,-99,-99,-99,-99,0,0,353,371,110,261,2,30,16,1,40,-99,88,0,22,70,83,71,0.103,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110493,110487,973,0.0,36.8,32.0,71.8,-99,18.1,15.7,35.3,-99,197.5,89.7,96.9,44.0,99,21.1,11.5,18.2,16.2,420.5,214.5,246.9,-99,-99,2024-08-13
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024227,2024227,2024,89,8504,3869,3869,0,4464,0.0185,20860,35.6,0.455,1.4,-99,-99,-99,-99,-99,0,0,460,390,116,274,16,69,51,1,40,-99,110,5,9,84,105,92,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12784,0,0,110346,110340,1120,0.0,26.4,32.1,73.4,-99,12.0,14.6,33.4,-99,212.6,77.7,96.7,35.3,100,20.7,11.2,18.0,16.2,420.5,321.7,265.2,-99,-99,2024-08-14
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,5244,2746,2746,0,3340,0.0132,20860,35.6,0.524,1.4,-99,-99,-99,-99,-99,0,0,308,331,70,261,0,30,13,1,40,-99,49,0,50,59,44,32,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110622,110615,844,0.0,30.8,25.4,74.7,-99,16.1,13.3,39.1,-99,131.1,107.5,68.6,56.3,99,21.1,11.4,18.2,16.2,420.5,170.1,206.5,-99,-99,2024-08-13
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024228,2024228,2024,89,6416,3876,3876,0,4470,0.0186,20860,35.6,0.604,1.4,-99,-99,-99,-99,-99,0,0,357,369,94,275,1,30,24,1,40,-99,105,0,12,76,100,88,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110418,110412,1048,0.0,29.4,26.3,68.4,-99,17.7,15.9,41.3,-99,160.4,61.3,96.9,37.0,101,20.6,11.1,18.1,16.2,420.5,218.5,244.1,-99,-99,2024-08-15
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024232,2024232,2024,89,8737,3675,3675,0,4270,0.0176,20860,35.6,0.421,1.4,-99,-99,-99,-99,-99,0,0,554,391,111,281,40,103,86,1,40,-99,114,5,6,84,109,97,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110330,110324,1136,0.0,21.0,32.8,79.0,-99,8.8,13.8,33.2,-99,218.4,76.6,91.9,32.2,105,20.4,11.0,17.1,16.1,420.5,415.7,266.6,-99,-99,2024-08-19
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024225,2024225,2024,89,7581,3880,3880,0,4474,0.0186,20859,35.6,0.512,1.4,-99,-99,-99,-99,-99,0,0,343,364,101,263,0,30,15,1,40,-99,95,0,17,73,91,78,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12795,12795,0,0,110456,110450,1010,0.0,36.9,31.7,75.2,-99,18.9,16.2,38.5,-99,189.5,79.5,97.0,40.7,98,21.3,11.8,17.9,16.2,420.5,205.4,239.3,-99,-99,2024-08-12
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,8041,3880,3880,0,4475,0.0186,20859,35.6,0.482,1.4,-99,-99,-99,-99,-99,0,0,489,385,112,273,23,90,57,1,40,-99,110,5,8,83,106,93,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12785,0,0,110348,110343,1117,0.0,22.9,30.8,71.8,-99,11.1,14.9,34.6,-99,201.0,72.8,97.0,35.1,99,21.0,11.5,17.7,16.2,420.5,350.8,260.7,-99,-99,2024-08-13
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024228,2024228,2024,89,6848,3880,3880,0,4475,0.0186,20860,35.6,0.567,1.4,-99,-99,-99,-99,-99,0,0,452,375,96,279,19,46,79,1,40,-99,106,2,12,78,102,90,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110391,110385,1075,0.0,21.8,27.3,71.3,-99,12.3,15.5,40.4,-99,171.2,64.3,97.0,36.5,101,20.8,11.3,17.8,16.2,420.5,314.3,250.7,-99,-99,2024-08-15
