,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024230,2024230,2024,89,6768,3560,3560,0,3981,0.0186,19141,27.9,0.526,2.0,-99,-99,-99,-99,-99,0,0,416,375,110,265,5,29,74,1,40,-99,96,0,9,64,91,78,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12804,0,0,110648,110640,821,0.0,25.5,28.1,61.7,-99,13.4,14.8,32.5,-99,169.2,70.6,89.0,37.1,99,21.6,12.1,17.2,16.2,419.6,265.4,240.8,-99,-99,1,2024-08-17
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024229,2024229,2024,89,6979,3560,3560,0,3981,0.0186,19141,27.9,0.51,2.0,-99,-99,-99,-99,-99,0,0,385,365,104,260,9,29,49,1,40,-99,92,0,10,61,87,74,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12807,0,0,110683,110675,785,0.0,29.7,30.3,67.0,-99,15.2,15.4,34.2,-99,174.5,76.1,89.0,38.8,98,21.8,12.1,17.6,16.2,419.6,234.6,230.5,-99,-99,1,2024-08-16
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024227,2024227,2024,89,6903,3560,3560,0,3981,0.0186,19140,27.9,0.516,2.0,-99,-99,-99,-99,-99,0,0,344,361,103,258,0,29,20,1,40,-99,87,0,15,62,82,69,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12806,0,0,110669,110662,799,0.0,35.7,30.4,67.0,-99,18.4,15.7,34.6,-99,172.6,79.4,89.0,41.0,96,22.1,12.5,17.3,16.2,419.6,193.2,227.0,-99,-99,1,2024-08-14
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024226,2024226,2024,89,6545,3560,3560,0,3981,0.0186,19140,27.9,0.544,2.0,-99,-99,-99,-99,-99,0,0,339,349,97,252,0,29,28,1,40,-99,75,0,20,55,70,57,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110745,110736,724,0.0,34.7,30.5,67.8,-99,18.9,16.6,36.9,-99,163.6,87.4,89.0,47.6,95,22.5,12.7,17.9,16.2,419.6,188.8,214.7,-99,-99,1,2024-08-13
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024228,2024228,2024,89,8012,3560,3560,0,3981,0.0186,19140,27.9,0.444,2.0,-99,-99,-99,-99,-99,0,0,379,392,127,265,1,29,24,1,40,-99,100,0,8,68,95,82,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12800,0,0,110604,110596,865,0.0,35.1,31.1,63.3,-99,15.6,13.8,28.1,-99,200.3,79.9,89.0,35.5,97,22.1,12.5,17.3,16.2,419.6,228.0,257.5,-99,-99,1,2024-08-15
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024232,2024232,2024,89,8360,3560,3560,0,3981,0.0186,19141,27.9,0.426,2.0,-99,-99,-99,-99,-99,0,0,435,397,129,268,5,38,61,1,40,-99,102,1,6,69,97,85,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12799,0,0,110595,110588,874,0.0,29.4,31.7,64.6,-99,12.5,13.5,27.5,-99,209.0,81.6,89.0,34.7,101,21.4,11.8,17.4,16.1,419.6,284.8,263.4,-99,-99,1,2024-08-19
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024227,2024227,2024,89,7139,3560,3560,0,3981,0.0186,19140,27.9,0.499,2.0,-99,-99,-99,-99,-99,0,0,374,378,116,261,0,29,33,1,40,-99,97,0,9,66,92,79,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110624,110616,845,0.0,32.0,29.3,61.4,-99,16.0,14.6,30.6,-99,178.5,73.9,89.0,36.9,96,22.2,12.5,17.6,16.2,419.6,223.2,243.7,-99,-99,1,2024-08-14
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024236,2024236,2024,89,7351,3398,3398,0,3819,0.0178,19141,27.9,0.462,2.0,-99,-99,-99,-99,-99,0,0,335,362,102,260,0,29,10,1,40,-99,78,0,17,56,73,61,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12812,0,0,110738,110730,731,0.0,40.0,32.2,72.0,-99,18.5,14.9,33.3,-99,183.8,93.9,85.0,43.4,105,20.9,11.2,17.6,16.1,419.6,183.9,228.1,-99,-99,1,2024-08-23
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024231,2024231,2024,89,7464,3560,3560,0,3981,0.0186,19141,27.9,0.477,2.0,-99,-99,-99,-99,-99,0,0,516,380,117,263,38,58,106,1,40,-99,100,1,7,67,95,82,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110608,110600,861,0.0,20.5,30.3,63.9,-99,9.8,14.5,30.5,-99,186.6,74.6,89.0,35.6,100,21.7,12.2,16.8,16.1,419.6,365.0,246.2,-99,-99,1,2024-08-18
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024126,2024131,2024188,2024233,2024233,2024,89,7794,3515,3515,0,3936,0.0184,19141,27.9,0.451,2.0,-99,-99,-99,-99,-99,0,0,403,388,122,265,1,29,53,1,40,-99,101,0,7,67,96,83,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110612,110604,857,0.0,30.8,30.7,63.7,-99,13.9,13.8,28.7,-99,194.9,77.3,87.9,34.8,102,21.2,11.6,17.2,16.1,419.6,252.8,253.9,-99,-99,1,2024-08-20
