,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0002401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024226,2024226,2024,89,8706,2939,2939,0,3465,0.02,14693,28.6,0.338,1.4,-99,-99,-99,-99,-99,0,0,394,384,112,272,6,19,53,1,40,-99,100,0,9,67,95,83,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110596,110590,870,0.0,33.3,33.2,77.5,-99,11.2,11.2,26.2,-99,217.7,87.5,73.5,29.5,97,21.4,11.4,17.5,16.2,419.6,261.7,262.5,-99,-99,1,2024-08-13
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0012401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024223,2024223,2024,89,8454,2938,2938,0,3465,0.02,14691,28.6,0.348,1.4,-99,-99,-99,-99,-99,0,0,412,377,112,265,8,26,67,1,40,-99,99,1,8,66,94,82,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110613,110606,853,0.0,30.3,33.1,75.7,-99,10.5,11.5,26.3,-99,211.4,85.6,73.5,29.8,94,21.8,11.7,17.5,16.2,419.6,279.2,255.3,-99,-99,1,2024-08-10
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0022401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024223,2024223,2024,89,7455,2938,2938,0,3465,0.02,14690,28.6,0.394,1.4,-99,-99,-99,-99,-99,0,0,323,354,102,251,1,16,18,1,40,-99,73,0,21,54,69,57,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110737,110730,729,0.0,39.2,32.1,72.9,-99,15.4,12.6,28.7,-99,186.4,101.5,73.5,40.0,94,22.2,11.8,18.2,16.2,419.6,190.4,232.3,-99,-99,1,2024-08-10
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0032401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024222,2024222,2024,89,6614,2938,2938,0,3465,0.02,14691,28.6,0.444,1.4,-99,-99,-99,-99,-99,0,0,373,366,100,266,2,16,55,1,40,-99,94,0,10,64,90,78,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12804,0,0,110633,110627,832,0.0,27.4,27.0,66.0,-99,12.2,12.0,29.3,-99,165.3,70.2,73.5,31.2,93,22.2,12.1,17.3,16.2,419.6,241.0,244.7,-99,-99,1,2024-08-09
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0042401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024223,2024223,2024,89,6864,2938,2938,0,3465,0.02,14691,28.6,0.428,1.4,-99,-99,-99,-99,-99,0,0,322,356,98,258,1,16,15,1,40,-99,77,0,18,56,73,61,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110721,110714,745,0.0,36.2,29.2,70.1,-99,15.5,12.5,30.0,-99,171.6,88.7,73.5,38.0,94,21.9,11.6,18.3,16.2,419.6,189.8,235.1,-99,-99,1,2024-08-10
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0052401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024220,2024220,2024,89,6050,2938,2938,0,3465,0.02,14691,28.6,0.486,1.4,-99,-99,-99,-99,-99,0,0,298,333,86,247,1,16,14,1,40,-99,58,0,30,48,54,42,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12820,0,0,110811,110804,655,0.0,36.4,28.6,70.2,-99,17.7,13.9,34.1,-99,151.3,104.2,73.5,50.6,91,22.6,12.2,18.6,16.3,419.6,166.0,211.7,-99,-99,1,2024-08-07
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0062401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024227,2024227,2024,89,8081,2845,2845,0,3371,0.0194,14691,28.6,0.352,1.4,-99,-99,-99,-99,-99,0,0,378,367,112,256,6,50,20,1,40,-99,75,4,19,56,71,58,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110725,110718,741,0.0,32.9,32.8,72.4,-99,11.6,11.6,25.5,-99,202.0,107.6,71.1,37.9,98,21.4,11.2,17.7,16.2,419.6,245.4,246.2,-99,-99,1,2024-08-14
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0072401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024223,2024223,2024,89,7480,2938,2938,0,3465,0.02,14691,28.6,0.393,1.4,-99,-99,-99,-99,-99,0,0,431,367,113,254,23,92,16,1,40,-99,75,10,13,59,71,59,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110704,110697,761,0.0,25.0,30.5,66.2,-99,9.8,12.0,26.0,-99,187.0,99.4,73.5,39.0,94,22.0,11.7,18.2,16.2,419.6,298.9,245.4,-99,-99,1,2024-08-10
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0082401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024225,2024225,2024,89,8655,2938,2938,0,3465,0.02,14692,28.6,0.339,1.4,-99,-99,-99,-99,-99,0,0,369,377,113,264,4,16,38,1,40,-99,96,0,9,65,91,79,0.081,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110619,110612,847,0.0,36.6,33.8,76.6,-99,12.4,11.5,26.0,-99,216.4,90.2,73.5,30.6,96,21.4,11.3,17.6,16.2,419.6,236.7,255.9,-99,-99,1,2024-08-12
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0092401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024122,2024129,2024185,2024223,2024223,2024,89,7980,2938,2938,0,3465,0.02,14692,28.6,0.368,1.4,-99,-99,-99,-99,-99,0,0,356,374,110,264,1,16,31,1,40,-99,95,0,11,66,91,79,0.081,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110606,110599,860,0.0,35.6,31.6,72.4,-99,13.1,11.6,26.7,-99,199.5,83.9,73.5,30.9,94,21.9,11.8,17.4,16.2,419.6,224.1,252.8,-99,-99,1,2024-08-10
